NOME,CNPJ,END.,SITE,SEG,FOMATO,TFIXO,RESPON,EMAIL,NCM1,NCM2,MOTIVO,IMPORT,IMPORTK,PAISES,CARGO
INDUSPOL INDUSTRIA DE POLIMEROS LTDA,54.991.591/0001-35,"RUA HENEIDE STORNI RIBEIRO, 54 - JARDIM ALVORADA - JANDIRA - SP - 06612-170",isis@embrapol.com.br,Chemicals & Pharmaceuticals  ,Manufacturing,551121130166 ,ISIS ,isis@embrapol.com.br,292910,,,,,,
INDUSTRIA ABOISSA BROKER LTDA,56814239/0001-50,"LARGO DO AROUCHE, 396 - REPÚBLICA, SÃO PAULO - SP, 01219-010",felipe.camargo@aboissa.com.br,Chemicals & Pharmaceuticals  ,Manufacturing,1133533090 ,FELIPE CAMARGO,felipe.camargo@aboissa.com.br,292910,,,,,,
MC GROUP PARTICIPACOES LTDA,26.442.139/0001-89,RUA DAS ORQUIDEAS - NÚMERO: 125  BAIRRO: ALPHAVILLE LAGOA DOS INGLESES MUNICÍPIO: NOVA LIMA UF: MG CEP: 34.000-000,matheus.aquino@metalloys.com.br,Chemicals & Pharmaceuticals  ,Manufacturing,551146155150 ,MATHEUS  AQUINO,matheus.aquino@metalloys.com.br,292910,,,,,,
OSWALDO CRUZ QUIMICA INDUSTRIA E COMERCIO LTDA,53.425.120/0001-05,"RUA MONICA APARECIDA MOREDO, 229 - JARDIM FATIMA - GUARULHOS - SP - 07177-220",rodrigo.oliveira@ocq.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551124363832 ,RODRIGO OLIVEIRA,rodrigo.oliveira@ocq.com.br,292910,,,,,,
POLI RESINAS INDUSTRIA E COMERCIO DE RESINAS LTDA,01.584.385/0001-44,"ESTRADA PART FUKUTARO YIDA, 1310  - COOPERATIVA - SAO BERNARDO DO CAMPO - SP - 09852-060",deric@mgpolimero.com.br,Chemicals & Pharmaceuticals  ,Manufacturing,551143441527 ,DERIC ,deric@mgpolimero.com.br,292910,,,,,,
VETTA QUIMICA IMPORTACAO E EXPORTACAO LTDA,08.062.665/0001-31,"R JOAO RANIERI, 1077, GALPAO03, JD FATIMA, GUARULHOS, SP, CEP 07177-120, BRASIL",rodrigo.oliveira@ocq.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551124363832 ,RODRIGO OLIVEIRA,rodrigo.oliveira@ocq.com.br,292910,,,,,,
TOPCAM - W & W OLIVEIRA DE CARVALHO LTDA,09.069.862/0001-45,RUA TIMBIRAS 262 - SANTA EFIGENIA - SÃO PAULO - SP - CEP 01208-011,mike@topcamcftv.com.br,"Electronics, Computers & Telecommunication",Distribuidor,551133318247 ,MIKE FANG,mike@topcamcftv.com.br,9013,,,,,,
MOVEL COMERCIO DE IMPORTADOS LTDA,15.694.431/0001-72,"R ALFREDO DEL PRIORI, 481, SALA 01, GUANABARA, COCAL DO SUL, SC, CEP 88845-000, BRASIL",gerencia@movelceramica.com.br,Beauty & Living Ware,Distribuidor,554834425905 ,JEAN TIEGS,gerencia@movelceramica.com.br,691090,,,,,,
SANFARMA INDUSTRIA E COMERCIO LTDA ME,02625651/0001-00,"RUA DO MECÂNICO, 300 -  AMERICANA – SP",luciano@sanfarma.com.br,Beauty & Living Ware,Distribuidor,551934783512 ,LUCIANO BIAGI,luciano@sanfarma.com.br,3307,,,,,,
MEXICHEM BRASIL INDUSTRIA DE TRANSFORMACAO PLASTICA LTDA,58.514.928/0001-74,"RUA BARRA VELHA, 100 - FABRICA -FLORESTA - JOINVILLE - SC - 89211-730",gabriela.viotto@wavin.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551121262636 ,GABRIELA VIOTTO,gabriela.viotto@wavin.com.br,292910,,,,,,
DURATEX S.A,97.837.181/0001-47,"AV PAULISTA, 1938, SAO PAULO - SP",luiz.martins@duratex.com.br,Others,Distribuidor,,LUIZ HENRIQUE SILVA,luiz.martins@duratex.com.br,391810,,,,,,
GK COMERCIO IMPORTACAO E EXPORTACAO LTDA,28.918.593/0001-99,AVENIDA ADAO FOCESI - NUMERO: 260 -CEP: 13050000 - COMPLEMENTO: - BAIRRO: JARDIM DO LAGO- MUNICÍPIO: CAMPINAS - UF: SP,fabriciaferrari569@hotmail.com,Chemicals & Pharmaceuticals  ,Manufacturing,5511993671879 ,CRISTINA KOVACS,fabriciaferrari569@hotmail.com,292910,,,,,,
"LMG LASERS - COMERCIO, IMPORTACAO E EXPORTACAO LTDA",09.089.140/0001-52,"R SEBASTIAO MONTEIRO FERRAZ, 421, ANEXO: V;, POLO INDUSTRIAL DE GUAXUPE, GUAXUPE, MG, CEP 37800-000, BRASIL",dr.abdo@lmglasers.com.br,Beauty & Living Ware,Distribuidor,553535592500 ,ABDO SALOMAO JUNIOR,dr.abdo@lmglasers.com.br,830110,,,,,,
"PAVONI TRATORPEÇAS COMERCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA",52.931.904/0001-34,"RUA DIAMANTINA, 816 – VILA MARIA – SÃO PAULO/SP CEP.: 02117-011",ronaldo@pavoni.com.br,Machinery & Heavy equipment,Distribuidor,551121414222 ,RONALDO FERREIRA,ronaldo@pavoni.com.br,8413,,,,,,
LABTEST S/A,16516296/0001-38,"AV PAULO FERREIRA DA COSTA, 600 BAIRRO DIST.INDL. V.ALEGRE CIDADE LAGOA SANTA CEP 33.400-000",fernando.mesquita@labtest.com.br,Health & Medical devices,Distribuidor,553136896900 ,FERNANDO  MESQUITA,fernando.mesquita@labtest.com.br,382200,,,,,,
NEWS GPS - TECNOLOGIA EM MONITORAMENTO S.A,11.810.190/0001-29,"VISCONDE DE SEPETIBA 935 SALA 1303 A 1308, CENTRO, NITERÓI RJ, CEP 24020-206",cezar@newsgps.com.br,"Electronics, Computers & Telecommunication",Distribuidor,552130273318 ,CEZAR VASCONCELLOS,cezar@newsgps.com.br,854370,,,,,,
VACHERON DO BRASIL LTDA  (CHINA SHOPPING ),2995451/0001-31,"RUA DR. BRASÍLIO MACHADO NETTO, 122 - VILA LISBOA, SÃO PAULO - SP,",comercial@wsicomex.com.br,Beauty & Living Ware,Distribuidor,554721229898 ,TONY PAIFFER,comercial@wsicomex.com.br,69111010,,,,,,
TECHNO CONST EMPREENDIMENTOS IMOBILIARIOS EIRELI,32.022.461/0001-51,"13 DE MAIO 286 SALA 305 PARTE CENTRO, CAMPOS DOS GOYTACAZES RJ,  28010-260",contato@technoconstenergy.com.br,"Electronics, Computers & Telecommunication",Distribuidor,552227235379 ,ATILA REIS,contato@technoconstenergy.com.br,8504,,,,,,
MALVA DEFENSIVOS E EQUIPAMENTOS FITO E DOMISSANITÁRIOS LTDA.,32.201.063/0001-00,"R. ALCAMEIA, 116 - OLARIA, RIO DE JANEIRO - RJ, 21031-520",everaldo.filho@malva.com.br,Machinery & Heavy equipment,To be Used,552131476515 ,EVERALDO FILHO,everaldo.filho@malva.com.br,842490,,,,,,
"A.C. GOMES COMERCIO, SERVICOS E REPRESENTACOES",24.445.524/0001-54,"RUA JOAQUIM GALVÃO, 198",technosol@technosol.ind.br,Machinery & Heavy equipment,Distribuidor,551135018246 ,ANTONIO CARLOS GALEAZZI GOMES,technosol@technosol.ind.br,841582,,,,,,
CINE & VIDEO SUPPORT LTDA,51.439.503/0001-07,"RUA JORGE CHAMMAS, 231",caetano@cinevideobr.com.br,"Electronics, Computers & Telecommunication",Distribuidor,551150805322 ,CAETANO SCATENA,caetano@cinevideobr.com.br,854140,,,,,,
DURAPISO LTDA,03.415.514/0001-04,AV PROFESSOR JOAQUI M CAVALCANTI 710 ,farina@espacodadecoracao.com.br,"Minerals, Glass & Ceramics  ",Distribuidor,5511960760117 ,ALEXANDRE TELES,farina@espacodadecoracao.com.br,391810,,,,,,
IMPOCOMP COMERCIO IMPORTACAO E EXPORTACAO LTDA,13.110.152/0001-99,"RUA PAULO OROZIMBO, 675 - CJ 63","vendas@impocomp.com.br,purchase@impocomp.com.br",Health & Medical devices,Distribuidor,551126288025 ,BRUNO QUARTIERI,"vendas@impocomp.com.br,purchase@impocomp.com.br",850131,,,,,,
M.CASSAB COMÉRCIO E INDÚSTRIA LTDA.,49.698.723/0010-96,"RUA AMÉRICO VESPÚCIO, N.º 815, GALPÃO A",rafael.lopes@mcassab.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551121627959 ,RAFAEL  LOPES,rafael.lopes@mcassab.com.br,291590,,,,,,
MARELLI COFAP DO BRASIL LTDA,02.865.246/0005-85,"AV MANOEL DA NÓBREGA, 196",evelin.marchi@marelli.com,Automobiles & Vehicles,Distribuidor,551121441798 ,EVELIN MARCHI,evelin.marchi@marelli.com,848790,,,,,,
RESTOQUE COMERCIO E CONFECCOES DE ROUPAS S/A,49.669.856/0171-19,"DAS NACOES UNIDAS 12.555 LOJA 106 NIVEL 8,50 PISO PARKING SHOPPING D & D DECORACAO E DESIGN",karina.malves@restoque.com.br,Textiles & Leather Products,Distribuidor,551121492500 ,KARINA MALVES,karina.malves@restoque.com.br,5911,,,,,,
ADAPTCAR VEICULOS ESPECIAIS EIRELI,24.128.917/0001-34,R ORISSANGA 280 CONJUNTO 43 SALA 01,vendas@adaptcar.com.br,Machinery & Heavy equipment,Distribuidor,551155852244 ,CARLOS MELICIO,vendas@adaptcar.com.br,903180,,,,,,
INDUSTRIAS ARTEB S/A,62.291.380/0002-07,"AVENIDA PIRAPORINHA, 1221 SL 01 - VILA OLGA,SAO BERNARDO DO CAMPO -SP",cezar.panigalli@arteb.com.br,Others,Manufacturing,551143429922 ,CEZAR PANIGALLI,cezar.panigalli@arteb.com.br,391990,,,,,,
OMETTO EQUIPAMENTOS DE RADIOPROTECAO E INSPECAO OMETTO & CIA EQUIPAMENTOS DE RADIOPROTECAO E INSPECAO LTDA,09.642.050/0001-47,"RUA AQUILINO PACHECO, 279, CIDADE ALTA - PIRACICABA, SP, ZC 13419-150",murilo@omettoequipamentos.com.br,Chemicals & Pharmaceuticals,Distribuidor,551930351919 ,MURILO MENEGHINI,murilo@omettoequipamentos.com.br,903180,,,,,,
MACK MEDICAL IMPORTACAO E EXPORTACAO LTDA,05.256.681/0001-77,RUA ITAUNA 408 ,rogerio@mackmedical.com.br,Health & Medical devices,Distribuidor,551129670763 ,ROGERIO VICTOR,rogerio@mackmedical.com.br,392099,,,,,,
FURP - FUNDAÇÃO PARA O REMÉDIO POPULAR,43.640.754/0001-19.,"RUA ENDRES, 35 - ITAPEGICA - GUARULHOS/SP - 07043-902 ",edson_weirich@furp.sp.gov.br,Chemicals & Pharmaceuticals  ,Manufacturing,551124236010 ,EDSON WEIRICH,edson_weirich@furp.sp.gov.br,292250,,,,,,
DATAMED LTDA,38.658.399/0001-75,RUA JOSÉ CLÁUDIO SANCHES. BAIRRO: CALIFÓRNIA. CIDADE: BELO HORIZONTE MG,hernelio@datamedweb.com.br,Health & Medical devices,Distribuidor,553121029000 ,HERNELIO TEIXEIRA,hernelio@datamedweb.com.br,841850,,,,,,
LEAGUE OF GEEKS - LOG COMERCIO DE COLECIONAVEIS E BRINQUEDOS LTDA,28.409.277/0001-91,RUA GALVAO BUENO 40 LOJA 129 - CEP 01.506-000 LIBERDADE SAO PAULO SP,contato@leagueofgeeks.com.br,Others,Distribuidor,5511967443419 ,ARIANE ROCHA,contato@leagueofgeeks.com.br,611510,,,,,,
PONSI REPRESENTACOES E COMERCIO DE VALVULAS LTDA,53.496.444/0001-26,R ESTELA BORGES MORATO,marcos@ponsi.com.br,Metals & Rubber & Plastic Products,Manufacturing,5511976798918 ,MARCOS PONSIRENAS,marcos@ponsi.com.br,848180,,,,,,
DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,"AVENIDA JURUÁ, Nº 434, ALPHAVILLE, BARUERI - SP, 06455-010",claire.bottero@dasa.com.br,Health & Medical devices,Distribuidor,551126303000 ,CLAIRE BOTTERO,claire.bottero@dasa.com.br,382200,,,,,,
GENERAL INSTRUMENTS ENGENHARIA REPRESENTACOES E COMERCIO LTDA,60.367.182/0001-65,"R. LUÍS VAZ DE CAMÕES, 595, MAIRIPORÃ - SP, 07600-508",contato@generalinstruments.com.br,Automobiles & Vehicles,Manufacturing,551144198400 ,ANTONIO CARLOS ARESCO,contato@generalinstruments.com.br,902519,,,,,,
IMPERIO DAS CORREIAS EIRELI,64.984.800/0001-77,"R AUGUSTO DE LELLO, 866, SANTA ROSA, PIRACICABA, SP, CEP 13414-244, BRASIL",eduardo@imperiodascorreias.com.br,Metals & Rubber & Plastic Products,Distribuidor,551934121763 ,EDUARDO ,eduardo@imperiodascorreias.com.br,400821,,,,,,
NEOS IND. COM. IMPORT E EXPORT DE ARTIGOS DE METAL EIRELI NEOS DESIGN INDUSTRIA DE ACABAMENTOS,12.942.244/0001-72,AV DEPUTADO JOSE ALVES DOS SANTOS 4426 ,financeiro@neoimportadora.com.br,Furniture & Home Decor,Distribuidor,554433549854 ,MATHEUS  ,financeiro@neoimportadora.com.br,830200,,,,,,
ALLOY ILUMINACAO LTDA,10.665.715/0001-17,"ENDEREÇO RUA VINTE E UM DE ABRIL , 1391, ANDAR 1 CEP 03.047-000",leticia@alloy.com.br,"Electronics, Computers & Telecommunication",Manufacturing,551147724500 ,LETICIA GARCIA,leticia@alloy.com.br,853900,,,,,,
DENTAL FACTORY,27.896.650/0001-13,"R. DAS CANELEIRAS, 500 - JARDIM, SANTO ANDRÉ - SP, 09090-050",leonardo.zago@dfhub.com.br,Beauty & Living Ware,Distribuidor,551135887071 ,LEONARDO ZAGO,leonardo.zago@dfhub.com.br,901849,,,,,,
ELOS ELETROTECNICA LTDA.,03.445.995/0001-92,"R JOINVILLE, 3706, SAO PEDRO, SAO JOSE DOS PINHAIS, PR, CEP 83020-000, BRASIL",jovelino@elos.com.br,"Electronics, Computers & Telecommunication",Distribuidor,554133839290 ,JOVELINO ,jovelino@elos.com.br,853521,,,,,,
INSTALADORA E COMERCIAL ELETRO ELETRONICA KISAN,89.725.105/0001-11,"LOGRADOURO: BANDEIRANTES, 40 - BAIRRO: NOVA SAPUCAIA - CEP: 93226-270 - MUNICÍPIO: SAPUCAIA DO SUL - ESTADO: RIO GRANDE DO SUL",cesar@primesol.com.br,"Electronics, Computers & Telecommunication",Distribuidor,551148293414 ,CESAR ,cesar@primesol.com.br,847160,,,,,,
QUANTIQ DISTRIBUIDORA,62.227.509/0001-29,"AV ANGELICA, 2.346, CONSOLACAO, SAO PAULO - SP, CEP: 01.228-200",cristiano.albanez@quantiq.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551121959235 ,CRISTIANO ALBANEZ,cristiano.albanez@quantiq.com.br,,,,,,,
SANTA CLARA MANUFATURA E COSMETICOS LTDA,57.407.397/0001-58,R ALVARO DO VALE 99 155 CEP 04.217-010 IPIRANGA SAO PAULO SP,herica@santaclara.com.br,Others,Distribuidor,551129153321 ,HERICA ,herica@santaclara.com.br,821220,,,,,,
UNIVERSO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,28.250.980/0001-08,"RUA CEMBIRA, 422, VILA CURUCA, SAO PAULO - SP, CEP: 08.030-050",alexandre.mukai@mrbento.com.br,"Electronics, Computers & Telecommunication",Distribuidor,553132912959 ,ALEXANDRE MUKAI,alexandre.mukai@mrbento.com.br,853521,,,,,,
TECSA LABORATÓRIOS LTDA,01.648.667/0001-68,"AV. DO CONTORNO , 6226 - SAVASSI 30.110-042 - BELO HORIZONTE- MG/BRASIL",mralamego@hotmail.com,Health & Medical devices,Distribuidor,553132810500 ,MARCIA LAMEGO,mralamego@hotmail.com,382200,,,,,,
DIAGNOSTIC IMAGIND AUTOMACAO LTDA,04.276.100/0001-04,"RUA RICARDO DE LEMOS, 152, BAIRRO SILVEIRA, SANTO ANDRÉ, SP",henrique@diagnostic.com.br,Machinery & Heavy equipment,Distribuidor,551144582829 ,HONDA HENRIQUE,henrique@diagnostic.com.br,902219,,,,,,
ARGOTECHNO ENGENHARIA LTDA,03.789.494/0001-23,"ORISSANGA 26 CJ 101, MIRANDOPOLIS, SÃO PAULO SP, 04052-030",marcio@argotechno.com,"Electronics, Computers & Telecommunication",Distribuidor,551155994514 ,EDUARDO MARCIO BARROS FRANCO,marcio@argotechno.com,853190,,,,,,
ARMAZEM AUTO PECAS EIRELLI,20.195.765/0001-31,"RUA SÃO JOÃO, 108 E - 01036-000.",vinicius@armazemautopecas.com.br,Automobiles & Vehicles,Distribuidor,554930258380 ,VINICIUS VOLMEI DAL PRA,vinicius@armazemautopecas.com.br,870899,,,,,,
DPUNION INSTRUMENTACAO ANALITICA E CIENTIFICA ,02.536.937/0001-01,"RUA MONSENHOR BASILIO PEREIRA, 50 - JABAQUARA - CEP 04343-090",eoliveira@dpunion.com.br,Machinery & Heavy equipment,Distribuidor,551150798411 ,ELCIO HOBI DE OLIVEIRA,eoliveira@dpunion.com.br,902710,,,,,,
DENSO DO BRASIL,43.375.930/0001-32,"AV. MARGINAL, 1001 - PÓLO INDUSTRIAL, SANTA BÁRBARA D'OESTE - SP, CEP: 13450-000",frederico_bisson@denso.com.br,Automobiles & Vehicles,Manufacturing,1930261703 ,FREDERICO BISSON,frederico_bisson@denso.com.br,8415,,,,,,
AGRO QUÍMICA MARINGÁ,61.980.181/0001-54,"R ALVARES CABRAL, 1210, BAIRRO: SERRARIA, DIADEMA, ZIP´CEP 09.980-160",pauloraphael@aqm.com.br,Chemicals & Pharmaceuticals,Distribuidor,551140569507 ,PAULO RAPAHEL,pauloraphael@aqm.com.br,390690,,,,,,
M CASSAB COMERCIO E INDUSTRIA LTDA,49.698.723/0001-03,"AVENIDA DAS NACOES UNIDAS, 20882",larissa.nascimento@mcassab.com.br,Chemicals & Pharmaceuticals  ,Manufacturing / Distribution,551121627981 ,LARISSA NASCIMENTO,larissa.nascimento@mcassab.com.br,390720,,,,,,
METACHEM INDUSTRIAL E COMERCIAL S/A,58.656.166/0001-40,"AVENIDA ANGELICA, 1814",nicodemo.petroni@metachem.com.br,Food and Drinks,Distribuidor,551138238770 ,NICODEMO PETRONI,nicodemo.petroni@metachem.com.br,29225039,,,,,,
CLOUD COMPUTING TECHNOLOGY LTDA,18.889.871/0001-73,AV CORIFEU DE AZEVEDO MARQUES - NÚMERO: 5579 COMPLEMENTO: ANDAR 1 - BAIRRO: VILA LAGEADO MUNICÍPIO: SAO PAULO - UF: SP - CEP: 05.339-005,renantes@gmail.com,"Electronics, Computers & Telecommunication",Distribuidor,551143240017 ,RENATO NANTES,renantes@gmail.com,850610,,,,,,
EGAL TRATAMENTOS CAPILARES EIRELI,29.872.879/0001-43,AL LORENA NÚMERO 1511 COMPLEMENTO CEP 01424-005 BAIRRO JARDIM PAULISTA MUNICÍPIO SAO PAULO  UF  SP  ,celsoguimaraes@icloud.com,Beauty & Living Ware,Manufacturing,5511996440320 ,CELSO GUIMARAES,celsoguimaraes@icloud.com,901811,,,,,,
FACIL NEGOCIO IMPORTACAO E COMERCIO LTDA,24.612.829/0001-03,"RUA CARAMURU, 354, SÃO PAULO, SP",joycemidea@facilnegocio.com.br,Others,Distribuidor,551155944038 ,JOYCE MIDEA,joycemidea@facilnegocio.com.br,848110,,,,,,
KOTA IMPORTS LTDA,00.325.031/0001-12,"R. ÍRIS MEMBERG, 140 - 150/160 - VILA JOVINA, COTIA - SP, 06705-150",glauciatamake@gmail.com,Beauty & Living Ware,Distribuidor,551146159200 ,GLAUCIA KAZUMI KOBO TAMAKE,glauciatamake@gmail.com,300610,,,,,,
ROCK BRIT COMERCIO DE EQUIPAMENTOS LTDA,02.566.341/0001-54,R ALFA 395 - CEP 32.372-080 VILA PARIS CONTAGEM MG,ricardo@rockbrit.com.br,Machinery & Heavy equipment,Manufacturing,553133934240 ,RICARDO LUIZ TAVARES DA SILVA,ricardo@rockbrit.com.br,843149,,,,,,
ZANINI CURTIS & CIA LTDA,61.524.633/0001-93,"R RUI GOMES DE ALMEIDA, 149, 159/133  - BAIRRO PENHA DE FRANCA - CIDADE SÃO PAULO - CEP 03.602-030",fred@zaninicurtis.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,5511983778506 ,FREDERICK GUSTAVO KORFF,fred@zaninicurtis.com.br,380700,,,,,,
FIOCRUZ PROJETOS - FUNDACAO OSWALDO CRUZ,33.781.055/0001-35,"AV. BRASIL, 4365",sotiris.missailidis@bio.fiocruz.br,Health & Medical devices,Manufacturing / Distribution,551138829446 ,SOTIRIS MISSAILIDIS,sotiris.missailidis@bio.fiocruz.br,90275010,,,,,,
INSTITUTO DE BIOLOGIA MOLECULAR DO PARANA - IBMP,03.585.986/0001-05,"RUA PROFESSOR ALGACYR MUNHOZ MADER, 3775 CIC - CEP 81350-010 -CURITIBA - PR - BRASIL",lucas@ibmp.org.br,Health & Medical devices,Manufacturing / Distribution,554133163258 ,LUCAS ROSSETI,lucas@ibmp.org.br,90275010,,,,,,
UNIAO QUIMICA FARMACEUTICA NACIONAL S A ,60.665.981/0009-75,AV MAGALHAES DE CASTRO; NÚMERO: 4800  - SÃO PAULO - SP,ufavale@uniaoquimica.com.br,Health & Medical devices,Manufacturing / Distribution,551155862010 ,URSULA FAVALE,ufavale@uniaoquimica.com.br,29242990,,,,,,
INTERMAX IMPORTACAO E COMERCIO LTDA,11.867.928/0001-94,RUA GENERAL MARIO TOURINHO 1805,bruno@intermaxbrasil.com.br,Others,Distribuidor,,BRUNO RAUCH,bruno@intermaxbrasil.com.br,391810,,,,,,
MARIPEL INDUSTRIA E COMERCIO LTDA,44.471.688/0001-63,"AV LUIGI PAPAIZ, 527 | DIADEMA - SP, CEP: 09931-610",mario@maripel.com.br,Office & School Supplies,Distribuidor,1140912455 ,MARIO ,mario@maripel.com.br,3506,,,,,,
PISOTRON INDUSTRIA E COMERCIO DE CARPETES LTDA - EPP,09.277.696/0001-72,"AV JORGE BEI MALUF, 843 GALPAO7 PAVMTO7N , SUZANO - SP CEP 08686-000",Sidney.medeiros@custombroker.com.br,Others,Distribuidor,5511941012210 ,SIDNEI ,Sidney.medeiros@custombroker.com.br,391810,,,,,,
CITTATI TECNOLOGIA - CITTAMOBI DESENVOLVIMENTO EM TECNOLOGIA LTDA.,10.237.278/0001-30,"RUA AFONSO CELSO , 552 – 2º ANDAR VILA MARIANA",rafael.molina@cittati.com.br,"Electronics, Computers & Telecommunication",Distribuidor,5511992077236 ,RAFAEL ANTONANGELO MOLINA,rafael.molina@cittati.com.br,854370,,,,,,
ROMPHIDRAUKIT - RHK IMPLEMENTOS E INSTALACOES HIDRAULICAS LTDA,09.349.185/0001-19,R LEONEL PEREIRA DA CUNHA 105 - CEP 14.711-308 DISTRITO INDUSTRIAL II BEBEDOURO SP,vendas@rhkrompedores.com.br,Machinery & Heavy equipment,Distribuidor,551733435430 ,VITOR PAREDE,vendas@rhkrompedores.com.br,843149,,,,,,
EPKE PELICULA SOLAR EIRELI,33.182.225/0001-65,"AV PARADA PINTO, 558, SUBSL SUBSOLO, VILA NOVA CACHOEIRINHA, SAO PAULO, SP, CEP 02611-002, BRASIL",rafaelfastfilm@gmail.com,Automobiles & Vehicles,Distribuidor,551138510962 ,RAFAEL FERREIRA,rafaelfastfilm@gmail.com,850100,,,,,,
FERRAMENTARIA GASPEC LTDA,03.635.958/0001-47,"AVENIDA NOVO HORIZONTE, 255 - VILA SACADURA CABRAL - SANTO ANDRE - SP - CEP 09060-820",joel@gaspec.com.br,Automobiles & Vehicles,Manufacture,551144218701 ,JOEL NUNES TEXEIRA,joel@gaspec.com.br,820730,,,,,,
JAPI S/A. INDUSTRIA E COMERCIO JAPI,71.522.460/0001-28,R HUBERT SCHLEDORN 370 ANEXO: 01;,rodrigo.moncao@japi.com.br,Furniture & Home Decor,Distribuidor,8007725274 ,RODRIGO ,rodrigo.moncao@japi.com.br,732410,,,,,,
MAXION SISTEMAS AUTOMOTIVOS LTDA,00.736.859/0001-63,"RUA DR. OTHON BARCELLOS, 83  - FABRICA  - CENTRO  - CRUZEIRO - SP 12730-900",acarlos@maxionsc.com,Automobiles & Vehicles,Manufacture,551231841251 ,ANTONIO CARLOS DE OLIVEIRA ,acarlos@maxionsc.com,820730,,,,,,
DISTRIMAIS COMERCIO IMPORTACAO E EXPORTACAO DE PRODUTOS MANUFATURADOS LTDA,15.615.012/0001-06,R COMENDADOR SOARES 194 SALA 801 E 803,fernando@distrimais.com,Beauty & Living Ware,Distribuidor,552135401897 ,FERNANDO BERTOLINI,fernando@distrimais.com,900130,,,,,,
BETTANIN S.A.,89.724.447/0001-17,ROD BR 116 - NÚMERO: SN - COMPLEMENTO: KM 258 - BAIRRO: NOVO ESTEIO - MUNICÍPIO: ESTEIO - UF: RS,douglas.prodanov@bettanin.com.br,Beauty & Living Ware,Manufacture,555134739623 ,DOUGLAS PRODANOV,douglas.prodanov@bettanin.com.br,851631,,,,,,
BIARARI & RODRIGUES INTERIORES SOCIEDADE EMPRESARIAL LTDA,18.770.018/0001-38,"ALAMEDA SAO CAETANO, 1473 - SANTA MARIA - SAO CAETANO DO SUL - SP - 09560-500",m.biarari@gmail.com.br,Others,Distribuidor,551131259090 ,MARCOS BIARARI,m.biarari@gmail.com.br,611090,,,,,,
CHRIS CINTOS DE SEGURANCA LTDA,49.729.718/0001-02,"AV ATLANTICA, 997, SANTO AMARO, SAO PAULO, SP, CEP 04768-000, BRASIL",contato@chriscintos.com.br,Automobiles & Vehicles,Distribuidor,551156834700 ,ADRIANA ,contato@chriscintos.com.br,870899,,,,,,
COSMEZI DO BRASIL COMERCIO DE COSMETICOS LTDA,10.214.616/0001-19,RUA MEXICO - NÚMERO: 320  - CEP: 82.510-060 - BAIRRO: BACACHERI - MUNICÍPIO: CURITIBA - UF: PR,anderson@cosmezi.com.br,Beauty & Living Ware,Manufacture,554191343500 ,ANDERSON PORTE,anderson@cosmezi.com.br,330499,,,,,,
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,16.701.716/0037-67,AV ENGENHEIRO LUIZ CARLOS BERRINI 105 TORRE 4 CONJ 61- 62 E 71 CEP 04.571-010 CIDADE MONCOES SAO PAULO SP,jeane.andrade@fcagroup.com,Automobiles & Vehicles,Manufacture,553121233320 ,JEANE ANDRADE,jeane.andrade@fcagroup.com,851770,,,,,,
FORESTKK DO BRASIL LTDA,22.380.585/0001-55,"AV. PAULISTA, 726, 16. ANDAR BELA VISTA SÃO PAULO, SP CEP:01310-910",yamasaki@forestkk.com,"Minerals, Glass & Ceramics  ",Distribuidor,551131923805 ,IVAN R. YAMASAKI,yamasaki@forestkk.com,392290,,,,,,
HUMANNA MEDICAL LTDA,27.617.206/0001-11,"R ALIPHIA ZAHETER KFURI, 80, VALE JEQUITIBA, GUAPIMIRIM,RJ, CEP 25946-610, BRASIL",roberto@humannamedical.com.br,Health & Medical devices,Manufacture,552125335020 ,ROBERTO VIANNA,roberto@humannamedical.com.br,300210,,,,,,
KERRIA IMPORTACAO E COMERCIO DE EQUIPAMENTOS LTDA,33.840.871/0001-72,"ALAMEDA TABAPUA, 627 - COMPLEMENTO: CONJ 63 BAIRRO: ITAIM BIBI CEP: 04533-012  MUNICÍPIO: SÃO PAULO ESTADO: SÃO PAULO",thais.alvarez@kerria.com.br,Health & Medical devices,Manufacture,551130828300 ,THAIS ALVAREZ,thais.alvarez@kerria.com.br,901841,,,,,,
MAPRIC PRODUTOS FARMACOCOSMETICOS LTDA,54.470.604/0001-20,AVENIDA DOUTOR GENTIL DE MOURA - NÚMERO: 194 BAIRRO: IPIRANGA  MUNICÍPIO: SAO PAULO UF: SP,contato@mapric.com.br,Chemicals & Pharmaceuticals  ,Distribuidor,551150615282 ,,contato@mapric.com.br,391239,,,,,,
